#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
4.732849999999999824e+01 8.458299999999999841e+01 9.290620000000000118e+02 1.501649999999999929e+00 4.057180000000000231e-01 3.319310000000000205e+00 6.076769999999999783e+01
3.961760000000000304e+01 8.659210000000000207e+01 9.371240000000000236e+02 5.254640000000000200e+00 3.989489999999999981e-01 3.901380000000000070e+00 5.754399999999999693e+01
4.580010000000000048e+01 6.073960000000000292e+01 5.112420000000000186e+02 3.045859999999999790e+00 4.662240000000000134e-02 4.662669999999999870e-01 6.625300000000000011e+01
3.914309999999999690e+01 7.417489999999999384e+01 9.926699999999999591e+02 2.558879999999999821e+00 2.689810000000000256e-01 3.697159999999999780e+00 5.384400000000000119e+01
4.753499999999999659e+01 8.811990000000000123e+01 5.055409999999999968e+02 4.707279999999999798e-01 4.367150000000000198e-01 2.151959999999999873e+00 6.037449999999999761e+01
4.631459999999999866e+01 6.677469999999999573e+01 5.035430000000000064e+02 2.797180000000000000e+00 1.661119999999999958e-02 4.630939999999999834e+00 6.144780000000000086e+01
4.701939999999999742e+01 7.540640000000000498e+01 9.992730000000000246e+02 4.505499999999999616e+00 3.979420000000000179e-01 3.886099999999999888e+00 5.543410000000000082e+01
2.700029999999999930e+01 8.531969999999999743e+01 5.019970000000000141e+02 3.462479999999999780e+00 4.600730000000000097e-01 3.951290000000000191e+00 6.104370000000000118e+01
4.589759999999999707e+01 8.380679999999999552e+01 9.614180000000000064e+02 2.236309999999999965e-01 3.439320000000000155e-01 3.633150000000000102e+00 5.721629999999999683e+01
4.580010000000000048e+01 6.073960000000000292e+01 5.112420000000000186e+02 3.045859999999999790e+00 4.662240000000000134e-02 4.662669999999999870e-01 6.625300000000000011e+01
4.506280000000000285e+01 8.957739999999999725e+01 9.952119999999999891e+02 4.384879999999999889e+00 5.416520000000000223e-01 3.694119999999999848e+00 5.438940000000000197e+01
4.631459999999999866e+01 6.677469999999999573e+01 5.035430000000000064e+02 2.797180000000000000e+00 1.661119999999999958e-02 4.630939999999999834e+00 6.144780000000000086e+01
3.817470000000000141e+01 9.626500000000000057e+01 9.792259999999999991e+02 2.659769999999999968e+00 6.468040000000000456e-01 4.023089999999999833e+00 5.490059999999999718e+01
